vendor_id,vendor_name,industry,location,contact_person,quality_score,delivery_score,price_competitiveness,financial_rating,compliance_score,past_disputes,years_in_business,number_of_employees,annual_turnover_cr,certifications,payment_terms,registration_date,last_evaluation_date,blacklisted,overall_score,risk_category
VEN00001,Sri Manufacturers & Co,Glass & Glazing,Aurangabad,Sanjay Gupta,77.32,61.21,67.91,60.07,63.85,10,20,26,60.51,ISO 9001,Net 45 days,2010-03-17,2025-03-04,No,62.85,High Risk
VEN00002,Stellar Suppliers 164 Pvt Ltd,Dam Engineering,Jammu,Gaurav Rao,82.23,71.65,76.09,75.76,75.52,2,26,31,75.68,"ISO 9001, ISO 14001",Net 60 days,2008-12-16,2025-10-29,No,72.68100000000001,High Risk
VEN00003,Nova Faridabad Fabricators Private Limited,Chemical Engineering,Kolkata,Sanjay Reddy,47.25,32.65,34.85,46.27,26.13,16,7,47,6.07,None,Net 45 days,2025-02-19,2025-01-31,No,35.9435,High Risk
VEN00004,Ghaziabad Associates & Associates,Solar Energy,Navi Mumbai,Sanjay Pandey,78.65,90.91,90.64,84.18,78.82,2,29,1570,191.61,"ISO 9001, OHSAS 18001",Net 45 days,2005-05-10,2025-09-26,No,79.9995,Medium Risk
VEN00005,Malegaon Holdings Inc,Solar Energy,Amritsar,Gaurav Chopra,86.03,78.22,71.53,70.82,71.82,5,6,194,47.99,None,"Advance 20%, Balance 80%",2020-09-08,2025-03-13,No,72.568,High Risk
VEN00006,Quantum Manufacturers Private Limited,Petroleum Infrastructure,Jhansi,Ramesh Sinha,73.64,71.16,82.66,82.62,86.66,1,17,47,88.35,None,Net 45 days,2011-08-10,2025-03-24,No,74.514,High Risk
VEN00007,Guwahati Traders Ltd,Food Processing,Cuttack,Rajesh Bhatia,82.14,81.33,80.58,72.19,68.2,4,3,41,75.87,ISO 9001,Net 90 days,2025-03-26,2025-10-04,No,73.35600000000001,High Risk
VEN00008,Amritsar Group Limited,Water Treatment,Tiruppur,Ravi Kapoor,73.92,67.64,73.09,67.13,77.65,9,4,83,30.22,None,"Advance 20%, Balance 80%",2022-08-22,2025-02-28,No,67.59500000000001,High Risk
VEN00009,Mumbai Infrastructure Pvt Ltd,Road Construction,Varanasi,Anil Sharma,35.06,45.4,34.49,32.52,51.8,23,19,35,5.62,None,Progress Payment,2015-05-01,2025-05-14,No,36.142500000000005,High Risk
VEN00010,Galaxy Ventures & Associates,Waste Management,Ambattur,Vikram Pandey,60.26,73.61,75.06,61.23,62.88,10,15,55,47.97,None,Letter of Credit,2019-09-10,2025-04-16,No,62.224000000000004,High Risk
VEN00011,Optimal Exports Inc,Construction & Infrastructure,Nagpur,Vikram Sinha,49.95,48.68,46.35,25.87,35.45,11,28,30,18.15,None,Net 90 days,2018-07-21,2025-05-28,No,39.11750000000001,High Risk
VEN00012,Quality Salem Contractors & Associates,Plumbing & Sanitation,Jammu,Abhishek Gupta,70.98,81.82,71.02,75.07,70.85,3,17,155,24.17,ISO 14001,"Advance 20%, Balance 80%",2024-02-21,2025-09-04,No,70.25349999999999,High Risk
VEN00013,Quantum Logistics LLP,Foundation Engineering,Tiruchirappalli,Sandeep Chopra,85.23,82.03,84.66,83.69,90.28,1,22,1566,191.38,None,Net 60 days,2011-06-18,2025-07-08,No,80.6425,Medium Risk
VEN00014,Shree Associates Limited,Food Processing,Nellore,Rahul Patel,59.73,64.06,58.46,61.97,62.78,9,27,159,73.32,None,Letter of Credit,2002-03-18,2025-12-04,No,57.8745,High Risk
VEN00015,Pegasus Indore Networks Ltd,Chemical Engineering,Amritsar,Sandeep Singh,57.81,56.39,59.03,65.93,69.23,10,16,84,91.48,None,Net 90 days,2024-10-18,2025-10-22,No,57.6555,High Risk
VEN00016,Sai Mumbai Engineering Ltd,Telecommunication,Akola,Ashok Verma,66.28,57.92,59.23,75.39,75.8,10,2,114,62.43,None,Net 60 days,2025-07-31,2025-11-17,No,62.9865,High Risk
VEN00017,Galaxy Technologies LLP,Food Processing,Loni,Rahul Nair,70.51,74.79,65.47,80.98,79.67,1,29,125,12.23,ISO 14001,Letter of Credit,2011-01-14,2025-05-12,No,70.50250000000001,High Risk
VEN00018,Navi Mumbai Solutions Private Limited,Textile Machinery,Solapur,Suresh Iyer,85.8,83.32,91.16,82.07,78.81,0,13,772,175.37,ISO 14001,Letter of Credit,2014-07-06,2025-05-18,No,80.0235,Medium Risk
VEN00019,Sri Thane Networks & Co,Elevators & Lifts,Agra,Ashok Sharma,84.74,78.1,82.78,81.27,79.25,4,7,621,69.97,"ISO 9001, ISO 14001",Net 90 days,2019-11-25,2025-08-30,No,77.1635,Medium Risk
VEN00020,Pegasus Platforms & Sons,Gas Distribution,Kolhapur,Pankaj Pandey,66.08,66.26,68.24,68.12,65.99,1,7,127,69.84,None,"Advance 20%, Balance 80%",2021-09-08,2025-09-10,No,63.480500000000006,High Risk
VEN00021,Nexus Firozabad Imports Pvt Ltd,Agricultural Machinery,Coimbatore,Dinesh Mehta,85.6,82.56,82.19,78.54,82.69,5,6,1449,88.16,"ISO 9001, ISO 14001",Net 45 days,2022-03-07,2025-10-22,No,78.10199999999999,Medium Risk
VEN00022,Pinnacle Meerut Industries Pvt Ltd,Industrial Automation,Kolkata,Vijay Iyer,69.87,78.48,72.27,75.13,68.44,3,8,57,69.05,None,Net 90 days,2025-11-16,2025-10-15,No,69.146,High Risk
VEN00023,Agra Exports Inc,Waterproofing,Warangal,Vikram Kapoor,86.18,91.7,89.56,94.68,88.4,1,20,1769,373.67,"ISO 9001, ISO 14001",Net 60 days,2022-05-15,2025-04-09,No,85.46500000000002,Low Risk
VEN00024,Akola Suppliers Inc,Mechanical Engineering,Saharanpur,Vijay Joshi,80.74,82.36,91.28,78.28,79.4,3,23,412,367.89,None,Net 45 days,2005-01-14,2025-05-10,No,77.76499999999999,Medium Risk
VEN00025,Summit Networks 21 Limited,Food Processing,Jalgaon,Sachin Iyer,96.05,97.05,98.05,92.71,95.99,2,26,1335,454.02,ISO 9001,Progress Payment,2008-06-29,2025-06-19,No,90.9705,Low Risk
VEN00026,Velocity Solutions 638 & Partners,Agricultural Machinery,Bhilai,Amit Shankar,60.96,67.85,76.62,62.92,64.49,7,7,136,39.42,None,Letter of Credit,2021-09-08,2025-07-19,No,62.2105,High Risk
VEN00027,Metro Imports Private Limited,Automotive Components,Malegaon,Vikram Nair,83.28,68.6,68.46,71.92,81.39,4,5,81,21.36,"ISO 9001, ISO 14001",Net 60 days,2024-09-18,2025-04-14,No,71.2015,High Risk
VEN00028,Supreme Rourkela Consultants Private Limited,Textile Machinery,Maheshtala,Kiran Reddy,72.35,78.2,82.69,73.71,78.8,0,19,196,84.75,None,"Advance 20%, Balance 80%",2010-04-20,2025-07-07,No,72.693,High Risk
VEN00029,Quality Systems Pvt Ltd,Wind Energy,Raipur,Gaurav Pandey,79.54,87.68,87.24,75.77,89.46,5,29,1797,256.88,None,"Advance 20%, Balance 80%",2002-07-14,2025-01-09,No,78.83,Medium Risk
VEN00030,Premier Ventures Limited,Wind Energy,Aurangabad,Manoj Joshi,43.79,47.28,41.73,33.32,53.06,10,16,18,7.74,None,"Advance 20%, Balance 80%",2020-02-22,2025-06-17,No,40.786,High Risk
VEN00031,Omega Delhi Group LLP,Airport Construction,Lucknow,Vijay Tiwari,78.62,82.39,86.16,81.94,75.05,2,8,928,361.3,"ISO 9001, ISO 14001",Net 60 days,2020-08-18,2025-02-28,No,76.6025,Medium Risk
VEN00032,Momentum Holdings & Sons,Power Transmission,Salem,Ramesh Reddy,71.77,70.6,77.26,80.88,71.65,1,24,143,34.88,ISO 14001,Net 30 days,2002-05-28,2025-02-06,No,70.525,High Risk
VEN00033,Howrah Services & Sons,Waterproofing,Agra,Mukesh Kumar,52.68,52.86,57.61,70.65,64.53,9,4,23,61.67,None,Net 60 days,2023-04-22,2025-04-07,No,55.742999999999995,High Risk
VEN00034,Pune Suppliers & Partners,Carpentry & Woodwork,Thane,Anil Shankar,86.06,77.51,88.06,90.26,76.44,1,4,1242,394.0,"ISO 9001, ISO 14001",Net 90 days,2024-09-02,2025-03-16,No,79.694,Medium Risk
VEN00035,Star Logistics 313 Limited,Scaffolding,Nellore,Vikram Bhatia,48.19,44.9,36.24,31.83,35.64,22,3,15,1.05,None,Net 45 days,2023-05-31,2025-02-07,No,37.0755,High Risk
VEN00036,Dynamic Ranchi Fabricators & Partners,Mining Equipment,Jaipur,Sanjay Joshi,71.97,77.42,67.25,69.64,71.7,6,27,56,16.43,None,Letter of Credit,2012-02-21,2025-02-07,No,67.947,High Risk
VEN00037,Optimal Bhopal Associates & Co,Civil Engineering,Jammu,Vishal Joshi,58.52,57.71,65.55,63.36,61.92,3,8,192,85.24,None,Letter of Credit,2019-06-27,2025-02-11,No,57.8145,High Risk
VEN00038,Nova Kolkata Traders Ltd,Agricultural Machinery,Guntur,Mohit Joshi,85.35,83.06,76.65,80.76,80.53,5,4,1856,122.37,ISO 9001,"Advance 20%, Balance 80%",2022-03-23,2025-05-17,No,77.4285,Medium Risk
VEN00039,Premier Infrastructure & Sons,Waterproofing,Dhanbad,Pankaj Singh,28.12,42.32,32.41,28.96,25.08,11,17,28,12.83,None,Net 45 days,2014-10-04,2025-01-22,Yes,29.3595,High Risk
VEN00040,Omega Visakhapatnam Platforms & Co,Aerospace Engineering,Jalandhar,Abhishek Singh,99.29,98.4,94.41,91.44,95.38,0,27,1969,101.06,"ISO 9001, ISO 14001",Net 60 days,2012-11-05,2025-03-23,No,91.259,Low Risk
VEN00041,Sigma Corporation LLP,Pipeline Installation,Patna,Sachin Mehta,58.76,58.39,44.29,56.62,47.62,21,9,5,6.37,None,Net 90 days,2022-08-04,2025-02-11,Yes,50.4285,High Risk
VEN00042,Bhubaneswar Holdings & Partners,Food Processing,Raipur,Ajay Kapoor,73.94,72.67,74.9,60.06,62.94,8,2,101,77.02,None,Letter of Credit,2024-11-13,2025-05-25,No,65.30699999999999,High Risk
VEN00043,Gorakhpur Builders Ltd,Gas Distribution,Bikaner,Ajay Singh,48.99,47.33,53.7,46.21,52.08,9,3,35,15.85,None,Progress Payment,2024-06-14,2025-06-18,No,46.372499999999995,High Risk
VEN00044,Orion Infrastructure 880 & Sons,Waterproofing,Bhilai,Sachin Rao,72.18,73.24,74.77,67.12,76.11,2,8,43,49.06,None,Net 45 days,2018-10-31,2025-10-18,No,68.649,High Risk
VEN00045,Sri Kolkata Engineering Pvt Ltd,Solar Energy,Howrah,Nitin Nair,77.01,81.33,73.3,73.22,80.17,3,20,194,31.67,ISO 9001,Net 90 days,2015-08-06,2025-01-16,No,73.03299999999999,High Risk
VEN00046,Pegasus Delhi Networks & Partners,Civil Engineering,Ranchi,Kiran Patel,81.24,82.06,78.63,75.84,85.36,1,13,143,19.6,ISO 9001,Letter of Credit,2019-04-21,2025-07-10,No,76.4385,Medium Risk
VEN00047,Urban Constructions 797 Limited,Chemical Engineering,Malegaon,Vikram Bhatia,79.72,77.17,66.26,77.7,66.04,1,20,84,71.0,ISO 9001,Net 30 days,2011-02-25,2025-09-29,No,70.69900000000001,High Risk
VEN00048,Star Exports & Partners,Mining Equipment,Chennai,Rohan Tiwari,84.96,86.38,82.95,92.32,93.76,1,17,1127,461.07,"ISO 9001, OHSAS 18001",Letter of Credit,2015-02-17,2025-07-10,No,83.43650000000001,Medium Risk
VEN00049,Universal Warangal Infrastructure Ltd,Carpentry & Woodwork,Gaya,Sanjay Pandey,83.06,79.81,71.03,79.53,64.0,4,4,136,43.17,ISO 9001,Letter of Credit,2024-06-20,2025-02-12,No,72.6875,High Risk
VEN00050,National Siliguri Services & Partners,Elevators & Lifts,Hyderabad,Pankaj Bhatia,81.07,82.44,72.72,74.42,70.12,0,10,146,20.45,ISO 14001,Progress Payment,2021-07-31,2025-04-20,No,73.0655,High Risk
